TIME;European.Union;Belgium;Bulgaria;Czechia;Denmark;Germany;Estonia;Ireland;Greece;Spain;France;Croatia;Italy;Cyprus;Latvia;Lithuania;Luxembourg;Hungary;Malta;Netherlands;Austria;Poland;Portugal;Romania;Slovenia;Slovakia;Finland;Sweden;United Kingdom;Iceland;Liechtenstein;Norway;Ukraine
1990;107554.00;1727.00;3465.00;2350.00;817.00;8957.00;1687.00;1044.00;2661.00;6562.00;6730.00;1194.00;27688.00;577.00;1554.00;3205.00;246.00;1404.00;310.00;585.00;2155.00;2257.00;3838.00;8162.00;262.00;1353.00;1838.00;2008.00;12918.00;115.00;NA;218.00;21865.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;107224.00;2388.00;2791.00;1881.00;914.00;9410.00;1499.00;1127.00;3211.00;7317.00;8393.00;858.00;27121.00;685.00;1127.00;3566.00;261.00;1650.00;296.00;688.00;2147.00;2078.00;3975.00;6895.00;201.00;1262.00;1849.00;2173.00;11461.00;86.00;NA;393.00;29350.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;99075.00;2476.00;2169.00;2168.00;844.00;8937.00;873.00;1022.00;3136.00;7912.00;6426.00;954.00;28997.00;763.00;1028.00;1775.00;239.00;1847.00;323.00;608.00;1864.00;1584.00;4715.00;4027.00;219.00;1022.00;761.00;2127.00;10259.00;87.00;NA;-117.00;17402.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;95884.00;2222.00;2183.00;2115.00;770.00;7790.00;898.00;1177.00;2817.00;6863.00;6352.00;963.00;27902.00;797.00;1011.00;1673.00;250.00;2451.00;431.00;561.00;1984.00;1913.00;3783.00;5215.00;248.00;879.00;1186.00;2235.00;9215.00;136.00;NA;171.00;11675.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;94362.00;2248.00;2139.00;1712.00;1110.00;7453.00;766.00;1334.00;2739.00;7834.00;5361.00;804.00;28288.00;850.00;1201.00;1755.00;208.00;2206.00;410.00;535.00;1817.00;1973.00;3198.00;4178.00;280.00;824.00;2097.00;2597.00;8445.00;128.00;NA;324.00;7882.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;92620.00;2035.00;1764.00;1287.00;701.00;7793.00;523.00;1328.00;2765.00;8600.00;5306.00;1032.00;29263.00;722.00;890.00;1307.00;99.00;2084.00;410.00;486.00;1757.00;1458.00;3869.00;4694.00;244.00;583.00;1326.00;2698.00;7596.00;116.00;NA;252.00;8080.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;87713.00;1987.00;1541.00;1371.00;864.00;6852.00;556.00;1253.00;3124.00;5959.00;5531.00;998.00;28418.00;864.00;1064.00;1413.00;81.00;2090.00;448.00;490.00;1769.00;1293.00;3054.00;4623.00;257.00;608.00;1722.00;2677.00;6806.00;121.00;NA;154.00;3687.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;80658.00;1829.00;1412.00;1294.00;620.00;5687.00;492.00;1474.00;3053.00;5835.00;4712.00;1039.00;27669.00;809.00;780.00;1181.00;40.00;2017.00;494.00;182.00;1888.00;1300.00;3226.00;4763.00;209.00;608.00;1645.00;1863.00;4537.00;124.00;NA;-45.00;3331.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;80810.00;2055.00;1240.00;1358.00;833.00;5971.00;453.00;1785.00;2890.00;6411.00;4934.00;1261.00;26335.00;889.00;731.00;1508.00;8.00;1985.00;438.00;152.00;1899.00;1108.00;4064.00;3998.00;159.00;608.00;1591.00;1630.00;4516.00;100.00;NA;356.00;3281.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;75899.00;1804.00;996.00;1165.00;542.00;5107.00;410.00;2161.00;2908.00;7431.00;4775.00;1293.00;23633.00;898.00;617.00;1079.00;6.00;1802.00;495.00;158.00;1586.00;1110.00;3987.00;2920.00;170.00;392.00;1601.00;1901.00;4952.00;77.00;NA;37.00;1485.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;68864.47;1276.00;694.00;868.00;387.00;6753.00;204.00;1634.00;2770.00;6743.00;4263.00;760.00;22439.00;980.00;209.00;398.00;6.47;1413.00;436.00;131.00;1298.00;1140.00;3283.00;2466.00;113.00;189.00;1520.00;1652.00;4839.00;63.00;NA;57.00;1152.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;69269.83;1553.00;596.00;853.00;521.00;6984.00;244.00;1755.00;2685.00;6753.00;4316.00;901.00;20854.00;944.00;168.00;565.00;6.83;1268.00;546.00;143.00;1480.00;1085.00;3308.00;3623.00;112.00;398.00;1390.00;1681.00;4537.00;85.00;NA;276.00;1200.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;63838.13;1015.00;657.00;486.00;616.00;6991.00;168.00;1493.00;2663.00;7713.00;3161.00;909.00;21748.00;985.00;117.00;442.00;6.13;700.00;529.00;85.00;1083.00;1220.00;3597.00;2475.00;82.00;429.00;1306.00;1426.00;1736.00;84.00;NA;NA;776.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;60210.22;1534.00;395.00;484.00;718.00;6600.00;165.00;1037.00;2574.00;6821.00;3160.00;1091.00;20816.00;1144.00;104.00;274.00;5.22;559.00;548.00;106.00;1234.00;1264.00;2359.00;2155.00;61.00;359.00;1492.00;1416.00;1735.00;73.00;NA;64.00;630.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;51574.37;1332.00;297.00;525.00;590.00;6714.00;157.00;1228.00;2497.00;6419.00;3714.00;660.00;14125.00;990.00;85.00;228.00;3.37;402.00;577.00;92.00;1175.00;941.00;2199.00;1549.00;55.00;380.00;1314.00;1239.00;2087.00;45.00;NA;206.00;637.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;48920.63;1439.00;340.00;500.00;550.00;6292.00;133.00;1049.00;2579.00;6306.00;4296.00;711.00;11708.00;1024.00;78.00;197.00;2.22;196.00;605.00;80.00;1081.42;786.00;2657.00;1305.00;52.00;305.00;1296.00;1068.00;2285.00;48.00;NA;-104.00;610.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;46048.46;1416.00;327.00;389.00;628.00;6212.00;107.00;1071.00;2815.00;4887.00;3520.00;727.00;11454.00;1203.00;53.00;216.00;1.58;162.00;614.00;83.00;1060.88;789.00;1850.00;1302.00;52.00;364.00;1301.00;1085.00;2359.00;69.00;NA;5.00;911.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;39347.70;1117.00;257.00;373.00;424.00;5930.00;79.00;798.00;2599.00;4147.00;4398.00;713.00;8457.00;1242.00;40.00;68.00;1.09;153.00;632.00;82.00;856.60;489.00;1759.00;633.00;19.00;352.00;1029.00;212.00;2488.00;88.00;NA;34.00;261.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;38266.64;758.00;307.00;323.00;415.00;5730.00;81.00;462.00;2710.00;4068.00;5315.00;616.00;7975.00;1318.00;27.00;125.00;0.67;94.00;579.00;79.00;787.97;382.00;1571.00;351.00;17.00;340.00;1117.00;905.00;1813.00;60.00;NA;-271.00;338.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;33094.35;710.00;325.00;289.00;249.00;5466.00;75.00;453.00;2415.00;3590.00;4015.00;614.00;6437.00;1247.00;35.00;146.00;0.75;156.00;530.00;77.00;617.60;344.00;1227.00;468.00;20.00;318.00;687.00;1097.00;1486.00;66.00;NA;-219.00;1343.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;26548.31;524.00;106.00;224.00;292.00;5117.00;85.00;553.00;1750.00;3265.00;3387.00;227.00;3684.00;1117.00;26.00;134.00;2.28;59.00;535.00;63.00;651.03;291.00;982.00;262.00;9.00;362.00;664.00;906.00;1271.00;59.00;NA;118.00;474.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;24498.93;386.00;85.00;151.00;167.00;5181.00;65.00;201.00;1432.00;2968.00;3808.00;253.00;3427.00;1097.00;18.00;46.00;2.06;40.00;547.00;40.00;472.87;367.00;815.00;326.00;8.00;318.00;536.00;861.00;881.00;56.00;NA;-166.00;353.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;23201.91;209.00;91.00;112.00;168.00;5130.00;68.00;192.00;1654.00;2693.00;3865.00;184.00;2543.00;922.00;14.00;165.00;1.84;40.00;588.00;27.00;365.07;339.00;640.00;350.00;8.00;353.00;635.00;1068.00;777.00;56.00;NA;-318.00;76.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;18830.86;115.00;60.00;108.00;138.00;4126.00;54.00;183.00;1331.00;2364.00;3489.00;89.00;2233.00;680.00;5.00;73.00;1.55;33.00;480.00;30.00;345.31;257.00;487.00;135.00;9.00;221.00;487.00;856.00;441.00;77.00;NA;-216.00;52.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;16793.30;98.00;48.00;57.00;103.00;4290.00;43.00;111.00;1374.00;2127.00;2425.00;63.00;2045.00;833.00;1.00;46.00;1.25;27.00;475.00;37.00;297.05;242.00;368.00;156.00;9.00;162.00;507.00;293.00;555.00;72.00;NA;418.00;108.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;16811.95;93.00;62.00;52.00;17.61;4651.00;61.00;100.00;1423.00;2196.00;2316.00;83.00;2386.00;875.00;NA;35.00;1.00;23.00;262.00;29.13;232.29;227.00;482.00;175.00;3.00;205.00;370.00;-94.00;545.92;64.00;NA;416.00;675.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;16671.28;67.00;60.00;59.00;3.88;2781.00;82.00;93.00;1416.00;2485.00;3451.00;33.00;2290.00;911.00;NA;19.00;1.36;20.00;183.00;24.04;260.36;244.00;467.00;82.89;1.00;238.00;384.00;493.00;521.75;78.00;NA;48.00;1029.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;16216.55;90.20;50.11;56.00;31.47;3519.00;49.00;53.29;1442.07;2976.00;2541.00;56.10;1952.55;813.99;0.95;18.40;2.35;27.00;52.56;23.96;170.98;220.12;415.61;40.16;0.21;215.00;252.00;462.00;684.47;68.62;NA;326.00;741.00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;13646.85;103.60;43.96;35.00;70.10;3181.00;41.00;41.97;1413.60;2699.00;1455.33;18.60;1642.38;846.85;3.31;15.80;2.72;26.00;5.08;18.48;74.25;181.08;442.75;61.58;0.21;226.00;113.00;369.00;515.20;85.56;NA;-1.00;467.80
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;13253.46;64.10;42.21;22.00;122.00;2953.00;26.00;103.39;1401.30;2461.00;2186.38;12.00;1233.00;797.00;2.33;15.20;2.02;13.00;-12.23;7.26;204.12;168.77;446.60;32.00;0.00;3.00;857.00;-259.00;350.00;NA;NA;35.99;NA
