TIME;European.Union;Belgium;Bulgaria;Czechia;Denmark;Germany;Estonia;Ireland;Greece;Spain;France;Croatia;Italy;Cyprus;Latvia;Lithuania;Luxembourg;Hungary;Malta;Netherlands;Austria;Poland;Portugal;Romania;Slovenia;Slovakia;Finland;Sweden;Iceland;Liechtenstein;Norway;Ukraine
1990;605329.70;16970.00;8706.00;9020.00;7631.00;122113.00;3015.00;4610.00;11971.00;41973.00;82489.00;3852.00;89144.00;1496.00;3502.00;6240.00;1585.00;7901.00;587.00;25348.70;9742.00;12662.00;11445.00;16360.00;1682.00;5275.00;10066.00;14388.00;701.00;NA;7743.00;61323.00
1991;609609.92;18611.00;6113.00;7503.00;7836.00;127672.00;2736.00;4770.00;12603.00;44988.00;86030.00;2949.00;88938.00;1603.00;3059.00;6768.00;1843.00;7245.00;608.00;24869.92;10513.00;12331.00;11000.00;13681.00;1654.00;4350.00;10170.00;14594.00;614.00;NA;8314.00;66919.00
1992;607122.64;19228.00;5386.00;8088.00;7653.00;128724.00;1535.00;4714.00;12651.00;46428.00;83159.00;2847.00;90223.00;1805.00;2527.00;3627.00;1896.00;7436.00;624.00;25469.64;10249.00;12365.00;12442.00;11742.00;1571.00;3840.00;8762.00;15901.00;668.00;NA;7366.00;39780.00
1993;605522.74;18649.00;5778.00;7611.00;7748.00;129092.00;1599.00;4920.00;12433.00;45209.00;83815.00;2945.00;89233.00;1890.00;2355.00;3164.00;1894.00;8046.00;755.00;25705.74;10459.00;12982.00;11580.00;11785.00;1878.00;3321.00;9225.00;15742.00;712.00;NA;7598.00;28326.00
1994;606492.83;20942.00;5222.00;7688.00;8221.00;128177.00;1488.30;5450.00;12856.00;48792.00;78474.00;2990.00;88522.00;2116.00;2287.00;3059.00;1895.00;7618.00;734.00;26769.53;10283.00;13329.00;11368.00;11146.00;2026.00;3361.00;10278.00;16029.00;710.00;NA;7045.00;22903.00
1995;617185.64;21081.00;5233.00;8097.00;8478.00;128396.00;1170.00;5529.00;12952.00;50742.00;81191.00;3322.00;92428.00;1893.00;1901.00;2748.00;1775.00;7298.00;757.00;27475.64;10381.00;13449.00;12488.00;12007.00;2215.00;3285.00;9025.00;16260.00;704.00;NA;7506.00;24038.00
1996;631097.26;22487.00;5134.00;8342.00;9445.00;131350.00;1274.00;5789.00;13885.00;49029.00;85448.00;3194.00;91659.00;2085.00;1992.00;2879.00;1827.00;6769.00;751.00;28230.26;11425.00;15504.00;11985.00;12212.00;2605.00;3439.00;9362.00;16408.00;793.00;NA;7497.00;15557.00
1997;632949.04;22618.00;4207.00;7929.00;9282.00;132163.00;1267.00;6365.00;14187.00;51740.00;84246.00;3535.00;91793.00;2033.00;1729.00;2828.00;1904.00;7098.00;947.00;29148.04;11413.00;16752.00;12759.00;11950.00;2533.00;3676.00;9213.00;15973.00;789.00;NA;7910.00;18005.00
1998;647611.95;23034.00;4594.00;8234.00;9220.00;132781.00;1210.00;7145.00;14455.00;56079.00;87087.00;3798.00;91370.00;2170.00;1713.00;3213.00;1983.00;7171.00;760.00;29482.95;11998.00;17172.00;14654.00;11685.00;2427.00;3782.00;9757.00;15904.00;820.00;NA;7718.00;16444.00
1999;638386.83;22651.00;4218.00;8114.00;9043.00;128130.00;1119.00;7987.00;14706.00;58375.00;85671.00;3844.00;87611.00;2181.00;1479.00;2541.00;2119.00;6814.00;824.00;30359.83;11453.00;17869.00;14794.00;9572.00;2515.00;3433.00;9756.00;16227.00;845.00;NA;8329.00;12367.00
2000;628379.92;22274.00;3809.00;7799.00;8671.00;125923.00;893.00;7902.00;14838.00;59687.00;83742.00;3312.00;86533.00;2326.00;1255.00;1696.00;2280.21;6682.00;807.00;30369.71;11332.00;17596.00;14341.00;9268.00;2316.00;3374.00;8990.00;14556.00;844.00;NA;9001.00;11646.00
2001;644480.72;22520.00;3958.00;8170.00;8718.00;128487.00;1058.00;8327.00;15263.00;62177.00;90946.00;3466.00;85235.00;2353.00;1264.00;1979.00;2419.87;6456.00;893.00;30873.85;12097.00;17827.00;14762.00;10952.00;2423.00;3194.00;8731.00;14836.00;828.00;NA;8464.00;12767.00
2002;634797.64;21414.00;4037.00;8279.00;8424.00;123265.00;1058.00;8234.00;15847.00;62651.00;88439.00;3598.00;85773.00;2360.00;1236.00;1917.00;2464.46;6275.00;836.00;32570.19;12289.00;17709.00;15371.00;10135.00;2352.00;3484.00;9534.00;15626.00;849.00;NA;8366.00;12858.00
2003;639094.36;22820.00;4465.00;8540.00;7875.00;120675.00;1092.00;7950.00;16512.00;64191.00;88538.00;4036.00;86381.00;2573.00;1370.00;1762.00;2656.86;6157.00;918.00;34741.50;13150.00;18673.00;14057.00;9771.00;2394.00;3145.00;9909.00;14170.00;849.00;NA;9623.00;13287.00
2004;643416.51;22994.00;4322.00;9334.00;7915.00;119471.00;1103.00;8486.00;16344.00;65781.00;89764.00;3741.00;82523.00;2426.00;1418.00;1902.00;3003.72;6258.00;946.00;34648.78;13411.00;19835.00;14338.00;9799.00;2489.00;3361.00;10318.00;13844.00;885.00;NA;9714.00;13315.00
2005;641208.67;22803.00;4628.00;9713.00;7636.00;118184.00;1156.37;8295.87;16669.00;66235.00;88800.00;3920.00;79340.00;2473.00;1453.00;2031.00;3104.53;7229.00;953.00;34336.70;13473.75;20002.00;14771.00;9232.00;2521.00;3335.00;10100.00;13323.44;900.00;NA;10706.00;13636.00
2006;642035.78;21415.00;4886.00;9642.00;7866.00;119508.00;1170.81;8425.82;16754.00;65565.00;88621.00;4047.00;79404.00;2575.00;1595.00;2099.00;2930.30;7477.00;954.00;34641.21;13515.26;21916.00;13149.00;9705.00;2624.00;3381.00;10058.00;12909.38;1019.00;NA;11222.00;14024.00
2007;623954.79;20434.00;4680.00;9674.00;7932.00;108178.00;1214.55;8389.09;16378.00;66532.00;88178.00;4131.00;75806.00;2673.00;1715.00;2201.00;2903.40;7478.00;976.00;34899.16;13024.84;22769.00;13347.00;9765.00;2578.00;3603.00;10003.00;11870.75;974.00;NA;10716.00;14283.00
2008;625048.34;22542.00;4544.00;9854.00;7819.00;114658.00;1184.19;8160.11;16392.00;63906.00;86978.00;4030.00;73886.00;2822.00;1621.00;2284.00;2925.74;7383.00;990.00;33334.30;12722.39;23398.00;12636.00;10025.00;3000.00;3746.00;10509.00;12858.61;1129.00;NA;10569.00;14336.00
2009;594401.49;22519.75;3988.00;9420.00;7053.00;109547.00;1045.17;7636.92;15629.00;59784.00;83717.00;3833.00;69080.00;2745.00;1460.00;1859.00;2739.31;7208.00;906.00;32584.07;12169.08;23498.00;11939.00;8778.00;2566.00;3483.00;9835.00;11809.18;1096.00;NA;11075.00;13628.00
2010;594476.29;23621.57;3615.00;9210.00;7277.00;112234.00;1110.08;7557.20;14347.00;57869.00;81456.00;3205.00;67065.00;2647.00;1526.00;1920.00;2868.36;6932.00;945.00;33989.44;12449.74;24444.00;11811.00;8891.00;2603.00;3698.00;9901.00;13492.90;644.00;NA;12217.00;13104.00
2011;579405.85;21909.97;3376.00;9046.00;7116.00;109307.00;1103.29;6684.75;12750.00;55328.00;84722.00;3143.00;64368.00;2594.00;1399.00;1841.00;2937.96;6560.00;942.00;32424.73;11720.63;24795.00;11044.00;9178.00;2572.00;3606.00;9898.00;13598.53;628.00;NA;10226.00;12465.00
2012;558629.53;20971.83;3634.00;8908.00;6975.00;109321.00;1131.99;6260.74;11807.00;50570.00;82651.00;2918.00;59150.00;2413.00;1377.00;1964.00;2836.11;6118.00;986.00;32533.54;11638.23;24100.00;9725.00;9033.00;2520.00;3343.00;9014.00;12354.09;624.00;NA;9369.00;11282.00
2013;542237.10;22112.71;3308.00;8635.00;6598.00;110736.00;1099.51;6511.37;10004.00;46249.00;80916.00;2888.00;55614.00;2081.00;1401.00;1895.00;2797.67;5874.00;876.00;31703.36;11856.43;22563.00;9460.00;8171.00;2388.00;3236.00;7891.00;12016.05;670.00;NA;13018.00;9739.00
2014;542518.20;22572.76;3729.00;9215.00;6533.92;109115.00;1115.20;6396.12;10472.00;44799.00;80917.47;2776.00;55513.00;2124.00;1428.00;1984.00;2716.37;6587.00;882.00;30964.66;11532.26;22428.00;9786.00;8577.00;2350.00;3066.00;9074.00;11644.45;732.00;NA;10943.00;10321.00
2015;551220.64;22977.35;4015.00;8975.00;6509.45;109504.00;1133.00;6784.82;11010.00;47601.00;81854.00;2925.00;55888.00;2140.00;1482.00;2104.00;2684.23;7109.00;651.00;30870.60;11667.34;23962.00;9917.00;9022.00;2288.00;3308.00;8762.00;10308.09;782.00;NA;9999.00;10213.00
2016;555663.87;22724.93;4032.00;8334.00;6741.86;109616.00;1133.62;7182.73;11224.00;49131.00;79688.00;2950.00;54775.00;2299.00;1472.00;2242.00;2688.48;7016.00;566.00;32103.69;12039.60;25926.00;9760.00;9094.93;2388.00;3502.00;8979.00;11114.60;876.00;NA;9823.00;11279.00
2017;572263.12;22651.87;4146.92;9721.00;6818.52;112216.00;1153.70;7105.38;11181.90;52295.00;80554.82;3151.47;54760.78;2370.79;1544.28;2367.10;2834.25;7508.00;469.61;32574.56;11992.74;29689.40;10063.09;9781.94;2424.33;3955.00;8695.00;11801.47;938.10;32.00;11047.00;12187.26
2018;567877.08;22532.72;4316.31;9848.00;6995.13;107148.00;1178.72;7273.88;10695.04;53005.00;78339.78;3091.70;55800.06;2358.63;1604.98;2569.80;3005.79;8045.00;450.72;32382.60;12173.98;30633.12;9742.38;9946.80;2504.88;4045.00;8625.00;11461.40;1008.79;NA;9424.29;12065.66
2019;567546.65;21754.65;4429.04;9923.00;6897.57;109659.00;1109.00;7361.23;11271.17;52095.00;78690.12;3148.20;55023.59;2320.00;1559.85;2609.60;3033.18;8014.00;449.67;30774.38;12663.94;31235.09;10259.00;9719.00;2325.37;3408.00;9122.00;11348.00;NA;NA;8693.49;NA
